matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
1254110,F du Plessis,11.0,9.0,8.0,,2.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,11.0,,2.0,0,13.0,,0,,0,,13.0
1254110,K Rabada,4.0,1.0,1.0,,1.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,24.0,24.0,21.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,5.25,Bowler,4.0,,1.0,0,5.0,,2,0.0,0,2.0,7.0
1254110,MM Ali,7.0,10.0,8.0,,,0.0,1st innings,Chennai Super Kings,Delhi Capitals,,18.0,18.0,16.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,5.333333333333333,AllRounder,7.0,,,0,7.0,,2,0.0,0,2.0,9.0
1254110,MS Dhoni,18.0,27.0,27.0,,,0.0,1st innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,18.0,,,0,18.0,,0,,0,,18.0
1254110,PP Shaw,20.0,14.0,13.0,,3.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,20.0,,3.0,0,23.0,,0,,0,,23.0
1254110,R Ashwin,2.0,3.0,3.0,,,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,1.0,26.0,24.0,20.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,5.0,Bowler,2.0,,,0,2.0,25.0,4,0.0,0,29.0,31.0
1254110,RA Jadeja,2.0,2.0,2.0,,,0.0,1st innings,Chennai Super Kings,Delhi Capitals,2.0,25.0,24.0,29.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,7.25,Bowler,2.0,,,0,2.0,50.0,0,0.0,0,50.0,52.0
1254110,RR Pant,16.0,13.0,12.0,1.0,1.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,Batsmen,16.0,2.0,1.0,0,19.0,,0,,0,,19.0
1254110,RV Uthappa,19.0,19.0,19.0,,1.0,0.0,1st innings,Chennai Super Kings,Delhi Capitals,,,,,,,,,,Batsmen,19.0,,1.0,0,20.0,,0,,0,,20.0
1254110,Ripal Patel,18.0,20.0,20.0,,2.0,0.0,2nd innings,Delhi Capitals,Chennai Super Kings,,,,,,,,,,AllRounder,18.0,,2.0,0,20.0,,0,,0,,20.0
